Sat Apr 12 15:55:56 2025    profiling-http.prof

         814366 function calls (782130 primitive calls) in 1.393 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    79116    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
76981/70017    0.006    0.000    0.007    0.000 {built-in method builtins.len}
76323/76307    0.008    0.000    0.009    0.000 {built-in method builtins.isinstance}
    31308    0.005    0.000    0.008    0.000 /usr/lib/python3.12/re/_parser.py:168(__getitem__)
    30610    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
    28580    0.003    0.000    0.003    0.000 /usr/lib/python3.12/re/_parser.py:240(__next)
    19322    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
    19226    0.003    0.000    0.005    0.000 /usr/lib/python3.12/re/_parser.py:261(get)
17665/17661    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
    15794    0.002    0.000    0.002    0.000 {built-in method builtins.min}
    14040    0.002    0.000    0.003    0.000 /usr/lib/python3.12/re/_parser.py:256(match)
    13306    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    13123    0.002    0.000    0.002    0.000 /usr/lib/python3.12/re/_parser.py:164(__len__)
    10096    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
9177/9147    0.002    0.000    0.008    0.000 {built-in method builtins.hasattr}
8300/8232    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     8175    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     8041    0.001    0.000    0.002    0.000 /usr/lib/python3.12/re/_parser.py:176(append)
     7729    0.001    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1599(<genexpr>)
     6474    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:113(__init__)
     6390    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     6287    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     6032    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     5879    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
 5800/496    0.004    0.000    0.006    0.000 /usr/lib/python3.12/re/_parser.py:178(getwidth)
 5781/243    0.011    0.000    0.025    0.000 /usr/lib/python3.12/re/_compiler.py:37(_compile)
     5162    0.001    0.000    0.002    0.000 {built-in method builtins.max}
 4919/253    0.020    0.000    0.051    0.000 /usr/lib/python3.12/re/_parser.py:512(_parse)
     4707    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:293(tell)
