Sat Apr 12 15:55:56 2025    profiling-http.prof

         814366 function calls (782130 primitive calls) in 1.393 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.362    0.052    0.362    0.052 {method 'read' of '_ssl._SSLSocket' objects}
        2    0.199    0.099    0.199    0.099 {built-in method _socket.getaddrinfo}
        2    0.183    0.091    0.183    0.091 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        2    0.180    0.090    0.180    0.090 {method 'connect' of '_socket.socket' objects}
      592    0.041    0.000    0.041    0.000 {built-in method marshal.loads}
      592    0.035    0.000    0.035    0.000 {built-in method _io.open_code}
 4919/253    0.020    0.000    0.051    0.000 /usr/lib/python3.12/re/_parser.py:512(_parse)
1497/1478    0.014    0.000    0.083    0.000 {built-in method builtins.__build_class__}
    68/65    0.013    0.000    0.023    0.000 {built-in method _imp.create_dynamic}
        1    0.013    0.013    0.013    0.013 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      592    0.011    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
 5781/243    0.011    0.000    0.025    0.000 /usr/lib/python3.12/re/_compiler.py:37(_compile)
    68/41    0.009    0.000    0.034    0.001 {built-in method _imp.exec_dynamic}
76323/76307    0.008    0.000    0.009    0.000 {built-in method builtins.isinstance}
     2823    0.007    0.000    0.007    0.000 {built-in method posix.stat}
     1478    0.007    0.000    0.007    0.000 {method 'sub' of 're.Pattern' objects}
76981/70017    0.006    0.000    0.007    0.000 {built-in method builtins.len}
      602    0.006    0.000    0.006    0.000 {method 'read' of '_io.BufferedReader' objects}
    79116    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
     1124    0.005    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
    31308    0.005    0.000    0.008    0.000 /usr/lib/python3.12/re/_parser.py:168(__getitem__)
      453    0.005    0.000    0.005    0.000 {method 'findall' of 're.Pattern' objects}
 1406/243    0.004    0.000    0.052    0.000 /usr/lib/python3.12/re/_parser.py:452(_parse_sub)
     1006    0.004    0.000    0.006    0.000 /usr/lib/python3.12/re/_compiler.py:243(_optimize_charset)
     1552    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap>:304(acquire)
2911/2816    0.004    0.000    0.005    0.000 {built-in method __new__ of type object at 0xa43b40}
     6032    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
 5800/496    0.004    0.000    0.006    0.000 /usr/lib/python3.12/re/_parser.py:178(getwidth)
    747/3    0.003    0.000    0.443    0.148 <frozen importlib._bootstrap>:1349(_find_and_load)
    19226    0.003    0.000    0.005    0.000 /usr/lib/python3.12/re/_parser.py:261(get)
    30610    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
      736    0.003    0.000    0.032    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      592    0.003    0.000    0.107    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    28580    0.003    0.000    0.003    0.000 /usr/lib/python3.12/re/_parser.py:240(__next)
17665/17661    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
    611/1    0.003    0.000    1.394    1.394 {built-in method builtins.exec}
     1184    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        1    0.002    0.002    0.027    0.027 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/bs4/dammit.py:128(_populate_class_variables)
     1552    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
     3429    0.002    0.000    0.004    0.000 /usr/lib/python3.12/typing.py:1188(__setattr__)
    745/3    0.002    0.000    0.443    0.148 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    14040    0.002    0.000    0.003    0.000 /usr/lib/python3.12/re/_parser.py:256(match)
       42    0.002    0.000    0.004    0.000 /usr/lib/python3.12/collections/__init__.py:355(namedtuple)
     1552    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        9    0.002    0.000    0.003    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/urllib3/util/url.py:227(_encode_invalid_chars)
       42    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
     1265    0.002    0.000    0.089    0.000 /usr/lib/python3.12/re/__init__.py:280(_compile)
     1552    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:124(setdefault)
8300/8232    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
