,Protein,Fat,Total carbohydrates,Added sugars,Dietary Fiber,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Selenium,Vitamin E,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Choline,Pantothenic acid,Vitamin A,Vitamin B12,Cholesterol
almond,41.4,67.56,7.67,8.8,34.29,0.02,0.02,0.06,0.04,0.02,0.01,0.03,0.11,0.0,0.11,0.01,0.07,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0
anise,35.2,20.38,18.19,0.0,52.14,0.05,0.21,0.04,0.04,0.03,0.0,0.05,0.1,0.0,0.0,0.03,0.02,0.02,0.04,0.0,0.0,0.02,0.0,0.0,0.0
artichoke,5.78,0.44,4.36,1.98,20.36,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0
arugula,5.64,0.9,1.28,4.22,5.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asparagus,4.7,0.0,1.28,4.7,8.57,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
avocado,3.8,55.51,2.68,13.34,0.36,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
bacon,66.66,59.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
banana,25.0,8.01,14.77,12.5,22.14,0.01,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barley,4.4,3.51,9.89,0.56,13.21,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
beef,33.62,14.74,0.0,1.76,15.71,0.01,0.02,0.0,0.01,0.01,0.01,0.06,0.0,0.0,0.0,0.08,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
bell pepper,1.43,0.14,1.74,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
blackberry,1.16,0.37,1.8,2.9,6.07,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blue cheese,42.86,22.9,1.3,7.14,12.86,0.04,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
bok choy,2.05,0.3,1.28,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bread,7.14,0.0,11.69,0.0,12.86,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brie,35.72,41.21,0.0,0.0,0.0,26.92,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
broccoli,4.7,0.0,1.71,2.36,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brown rice,18.6,2.99,27.91,0.0,16.79,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
butter,2.36,0.0,0.85,2.36,4.29,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buttermilk,6.92,1.38,1.75,10.72,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
butternut squash,2.36,0.0,4.28,4.7,8.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,2.2,0.64,0.87,2.12,5.71,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
carrot,1.74,0.31,3.52,9.5,10.36,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
cashew,24.2,67.95,11.02,18.18,10.71,0.0,0.03,0.05,0.03,0.01,0.01,0.04,0.2,0.0,0.03,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0
cauliflower,4.7,0.0,1.71,4.7,8.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
